Количество записей: 100

Сортировка Двухпутевыми вставками: 
Время, затраченное на сортировку: 8 милисекунд

Сортировка Быстрой сортировкой: 
Время, затраченное на сортировку: 24 милисекунд

Результат сортировки (отсортированные данные): 

[ Авиадиспетчер, 10, Виктория, Соловьёва, Еленаовна]
[ Авиадиспетчер, 10, Виктория, Соловьёва, Еленаовна]
[ Авиадиспетчер, 10, Виктория, Соловьёва, Еленаовна]
[ Авиадиспетчер, 10, Виктория, Соловьёва, Еленаовна]
[ Авиадиспетчер, 10, Виктория, Соловьёва, Еленаовна]
[ Авиадиспетчер, 14, Александра, Васильева, Натальяовна]
[ Авиадиспетчер, 14, Александра, Васильева, Натальяовна]
[ Авиадиспетчер, 14, Александра, Васильева, Натальяовна]
[ Авиадиспетчер, 14, Александра, Васильева, Натальяовна]
[ Авиадиспетчер, 14, Александра, Васильева, Натальяовна]
[ Авиадиспетчер, 26, Надежда, Козлова, Ольгаовна]
[ Авиадиспетчер, 26, Надежда, Козлова, Ольгаовна]
[ Авиадиспетчер, 26, Надежда, Козлова, Ольгаовна]
[ Авиадиспетчер, 26, Надежда, Козлова, Ольгаовна]
[ Авиадиспетчер, 26, Надежда, Козлова, Ольгаовна]
[ Актёр, 5, Кира, Попова, Нинаовна]
[ Актёр, 5, Кира, Попова, Нинаовна]
[ Актёр, 5, Кира, Попова, Нинаовна]
[ Актёр, 5, Кира, Попова, Нинаовна]
[ Актёр, 5, Кира, Попова, Нинаовна]
[ Актёр, 27, Кира, Иванова, Любовьовна]
[ Актёр, 27, Кира, Иванова, Любовьовна]
[ Актёр, 27, Кира, Иванова, Любовьовна]
[ Актёр, 27, Кира, Иванова, Любовьовна]
[ Актёр, 27, Кира, Иванова, Любовьовна]
[ Астроном, 6, Ангелина, Попова, Ольгаовна]
[ Астроном, 6, Ангелина, Попова, Ольгаовна]
[ Астроном, 6, Ангелина, Попова, Ольгаовна]
[ Астроном, 6, Ангелина, Попова, Ольгаовна]
[ Астроном, 6, Ангелина, Попова, Ольгаовна]
[ Астроном, 26, Полина, Фёдорова, Василисаовна]
[ Астроном, 26, Полина, Фёдорова, Василисаовна]
[ Астроном, 26, Полина, Фёдорова, Василисаовна]
[ Астроном, 26, Полина, Фёдорова, Василисаовна]
[ Астроном, 26, Полина, Фёдорова, Василисаовна]
[ Банкир, 28, Елена, Семёнова, Екатеринаовна]
[ Банкир, 28, Елена, Семёнова, Екатеринаовна]
[ Банкир, 28, Елена, Семёнова, Екатеринаовна]
[ Банкир, 28, Елена, Семёнова, Екатеринаовна]
[ Банкир, 28, Елена, Семёнова, Екатеринаовна]
[ Банкир, 29, Вера, Петрова, Алисаовна]
[ Банкир, 29, Вера, Петрова, Алисаовна]
[ Банкир, 29, Вера, Петрова, Алисаовна]
[ Банкир, 29, Вера, Петрова, Алисаовна]
[ Банкир, 29, Вера, Петрова, Алисаовна]
[ Генетик, 22, Кристина, Зайцева, Иринаовна]
[ Генетик, 22, Кристина, Зайцева, Иринаовна]
[ Генетик, 22, Кристина, Зайцева, Иринаовна]
[ Генетик, 22, Кристина, Зайцева, Иринаовна]
[ Генетик, 22, Кристина, Зайцева, Иринаовна]
[ Декоратор, 1, Алиса, Лебедева, Елизаветаовна]
[ Декоратор, 1, Алиса, Лебедева, Елизаветаовна]
[ Декоратор, 1, Алиса, Лебедева, Елизаветаовна]
[ Декоратор, 1, Алиса, Лебедева, Елизаветаовна]
[ Декоратор, 1, Алиса, Лебедева, Елизаветаовна]
[ Дизайнер, 24, Юлия, Кузнецова, Лидияовна]
[ Дизайнер, 24, Юлия, Кузнецова, Лидияовна]
[ Дизайнер, 24, Юлия, Кузнецова, Лидияовна]
[ Дизайнер, 24, Юлия, Кузнецова, Лидияовна]
[ Дизайнер, 24, Юлия, Кузнецова, Лидияовна]
[ Дизайнер ландшафта, 27, Екатерина, Семёнова, Анастасияовна]
[ Дизайнер ландшафта, 27, Екатерина, Семёнова, Анастасияовна]
[ Дизайнер ландшафта, 27, Екатерина, Семёнова, Анастасияовна]
[ Дизайнер ландшафта, 27, Екатерина, Семёнова, Анастасияовна]
[ Дизайнер ландшафта, 27, Екатерина, Семёнова, Анастасияовна]
[ Звукооператор, 23, Любовь, Фёдорова, Екатеринаовна]
[ Звукооператор, 23, Любовь, Фёдорова, Екатеринаовна]
[ Звукооператор, 23, Любовь, Фёдорова, Екатеринаовна]
[ Звукооператор, 23, Любовь, Фёдорова, Екатеринаовна]
[ Звукооператор, 23, Любовь, Фёдорова, Екатеринаовна]
[ Микробиолог, 6, Полина, Смирнова, Еваовна]
[ Микробиолог, 6, Полина, Смирнова, Еваовна]
[ Микробиолог, 6, Полина, Смирнова, Еваовна]
[ Микробиолог, 6, Полина, Смирнова, Еваовна]
[ Микробиолог, 6, Полина, Смирнова, Еваовна]
[ Переводчик, 14, Василиса, Кузнецова, Полинаовна]
[ Переводчик, 14, Василиса, Кузнецова, Полинаовна]
[ Переводчик, 14, Василиса, Кузнецова, Полинаовна]
[ Переводчик, 14, Василиса, Кузнецова, Полинаовна]
