Количество записей: 200

Сортировка Двухпутевыми вставками: 
Время, затраченное на сортировку: 221 милисекунд

Сортировка Быстрой сортировкой: 
Время, затраченное на сортировку: 38 милисекунд

Результат сортировки (отсортированные данные): 

[ IT - менеджер, 3, Анастасия, Фёдорова, Надеждаовна]
[ IT - менеджер, 5, Елизавета, Иванова, Любовьовна]
[ IT - менеджер, 7, Нина, Кузнецова, Светланаовна]
[ IT - менеджер, 9, Виктория, Петрова, Вераовна]
[ IT - менеджер, 20, Наталья, Кузнецова, Полинаовна]
[ IT - менеджер, 21, Ева, Соловьёва, Елизаветаовна]
[ IT - менеджер, 25, Надежда, Лебедева, Еваовна]
[ IT - менеджер, 27, Василиса, Виноградова, Кристинаовна]
[ IT - менеджер, 27, Лидия, Фёдорова, Нинаовна]
[ IT - менеджер, 29, Анастасия, Воробьёва, Кираовна]
[ Авиадиспетчер, 6, Нина, Соловьёва, Анастасияовна]
[ Авиадиспетчер, 9, Надежда, Фёдорова, Екатеринаовна]
[ Авиадиспетчер, 13, Ирина, Новикова, Иринаовна]
[ Авиадиспетчер, 29, Елизавета, Кузнецова, Полинаовна]
[ Авиадиспетчер, 29, Людмила, Богданова, Василисаовна]
[ Авиадиспетчер, 29, Надежда, Зайцева, Кираовна]
[ Актёр, 9, Вера, Виноградова, Кристинаовна]
[ Актёр, 11, Елена, Волкова, Лидияовна]
[ Актёр, 11, София, Петрова, Алисаовна]
[ Актёр, 16, Анастасия, Воробьёва, Кираовна]
[ Актёр, 16, Екатерина, Смирнова, Надеждаовна]
[ Актёр, 26, Елена, Новикова, Светланаовна]
[ Актёр, 29, Виктория, Павлова, Кристинаовна]
[ Археолог, 5, Светлана, Соколова, Александраовна]
[ Археолог, 7, Людмила, Новикова, Кираовна]
[ Археолог, 8, Полина, Морозова, Ольгаовна]
[ Археолог, 9, Екатерина, Смирнова, Лидияовна]
[ Археолог, 11, Полина, Лебедева, Василисаовна]
[ Археолог, 18, Ольга, Павлова, Ангелинаовна]
[ Археолог, 22, Вера, Васильева, Алисаовна]
[ Астроном, 2, Ольга, Павлова, Ангелинаовна]
[ Астроном, 2, Светлана, Васильева, Лидияовна]
[ Астроном, 9, Ангелина, Богданова, Натальяовна]
[ Астроном, 9, Юлия, Васильева, Светланаовна]
[ Астроном, 10, Людмила, Иванова, Еленаовна]
[ Астроном, 11, Людмила, Павлова, Надеждаовна]
[ Астроном, 18, Анастасия, Иванова, Викторияовна]
[ Банкир, 1, Наталья, Воробьёва, Лидияовна]
[ Банкир, 4, Светлана, Кузнецова, Софияовна]
[ Банкир, 9, Ангелина, Козлова, Ангелинаовна]
[ Банкир, 9, Лидия, Новикова, Светланаовна]
[ Банкир, 14, Ольга, Смирнова, Александраовна]
[ Банкир, 15, София, Попова, Натальяовна]
[ Банкир, 16, Людмила, Фёдорова, Юлияовна]
[ Банкир, 17, Надежда, Соколова, Лидияовна]
[ Врач, 1, Алиса, Кузнецова, Кираовна]
[ Врач, 15, Ангелина, Васильева, Алисаовна]
[ Врач, 16, Нина, Морозова, Екатеринаовна]
[ Врач, 21, Елена, Петрова, Викторияовна]
[ Врач, 26, Надежда, Петрова, Ангелинаовна]
[ Врач, 29, Вера, Морозова, Светланаовна]
[ Генетик, 5, Ангелина, Зайцева, Иринаовна]
[ Генетик, 5, Ева, Богданова, Еленаовна]
[ Генетик, 5, Екатерина, Павлова, Кираовна]
[ Генетик, 7, Анастасия, Петрова, Ангелинаовна]
[ Генетик, 9, Полина, Смирнова, Елизаветаовна]
[ Генетик, 12, Кристина, Воробьёва, Елизаветаовна]
[ Генетик, 13, Ангелина, Новикова, Алисаовна]
[ Генетик, 23, София, Кузнецова, Софияовна]
[ Генетик, 25, Нина, Морозова, Софияовна]
[ Генетик, 27, Вера, Попова, Светланаовна]
[ Генетик, 27, Елизавета, Петрова, Людмилаовна]
[ Генетик, 28, Светлана, Зайцева, Василисаовна]
[ Декоратор, 7, Ирина, Лебедева, Лидияовна]
[ Декоратор, 8, Людмила, Морозова, Анастасияовна]
[ Декоратор, 9, Анастасия, Лебедева, Софияовна]
[ Декоратор, 22, Людмила, Семёнова, Нинаовна]
[ Декоратор, 24, Светлана, Воробьёва, Полинаовна]
[ Декоратор, 29, Ангелина, Васильева, Натальяовна]
[ Дизайнер, 4, Людмила, Зайцева, Натальяовна]
[ Дизайнер, 9, Кира, Кузнецова, Кираовна]
[ Дизайнер, 9, Наталья, Козлова, Светланаовна]
[ Дизайнер, 19, Анастасия, Волкова, Александраовна]
[ Дизайнер, 21, София, Иванова, Василисаовна]
[ Дизайнер, 28, Александра, Павлова, Полинаовна]
[ Дизайнер, 28, Ангелина, Павлова, Лидияовна]
[ Дизайнер ландшафта, 4, Алиса, Морозова, Кристинаовна]
[ Дизайнер ландшафта, 16, Анастасия, Воробьёва, Елизаветаовна]
[ Дизайнер ландшафта, 17, Елена, Соловьёва, Екатеринаовна]
[ Дизайнер ландшафта, 25, Кристина, Петрова, Ольгаовна]
[ Звукооператор, 7, Ольга, Козлова, Полинаовна]
[ Звукооператор, 8, Надежда, Новикова, Викторияовна]
[ Звукооператор, 9, Светлана, Соколова, Лидияовна]
[ Звукооператор, 17, Алиса, Иванова, Ангелинаовна]
[ Звукооператор, 22, Кира, Фёдорова, Елизаветаовна]
[ Звукооператор, 23, Елена, Новикова, Лидияовна]
[ Звукооператор, 24, Лидия, Воробьёва, Иринаовна]
